,value__sum_values,value__median,value__mean,value__length,value__standard_deviation,value__variance,value__root_mean_square,value__maximum,value__absolute_maximum,value__minimum
20,-0.42120208780999946,-0.0001525879,-2.2730819633567158e-05,18530.0,0.04072551672320934,0.0016585677123724036,0.04072552306677675,0.3380127,0.3380127,-0.2875366
21,-0.6657728064200001,-0.00112915,-3.592945528440368e-05,18530.0,0.06480526365337777,0.004199722197183806,0.06480527361341484,0.5151367,0.5151367,-0.4533386
22,-0.52511618405,6.103516e-05,-2.8338703942255803e-05,18530.0,0.019615393682419643,0.0003847636693163084,0.019615414153120746,0.2148438,0.2148438,-0.1722107
23,-0.7886659551800003,0.000213623,-4.25615734042094e-05,18530.0,0.04809856640714876,0.002313472090422899,0.048098585238138036,0.2749939,0.4119873,-0.4119873
24,0.013305170229999885,0.0002746582,7.180340113329674e-07,18530.0,0.03093417240471458,0.0009569230223646051,0.030934172413047967,0.1185608,0.1654053,-0.1654053
25,0.5648811384199988,0.0006713867,3.0484680972476997e-05,18530.0,0.041209216797680796,0.001698199549078257,0.04120922807326086,0.4024963,0.4024963,-0.3852844
26,-0.20031810725000093,-0.0008544922,-1.0810475296816024e-05,18530.0,0.03443711846199581,0.001185915127965533,0.03443712015880406,0.1958923,0.2009583,-0.2009583
27,-0.6114501172599999,9.155273e-05,-3.299784766648677e-05,18530.0,0.02076816008133854,0.0004313164731641037,0.020768186295920362,0.1473694,0.1473694,-0.1258545
28,-2.59844953218,0.0005493164,-0.00014022933255153805,18530.0,0.022983745751791042,0.0005282525687829728,0.022984173534166517,0.1557617,0.1557617,-0.1508484
29,-0.808287729120001,-0.0006103516,-4.36204926670265e-05,18530.0,0.053476347507460366,0.002859719742738663,0.053476365298008456,0.2915039,0.3250732,-0.3250732
30,-0.2381281302399999,3.051758e-05,-1.2850951443065295e-05,18530.0,0.027711163532584977,0.0007679085843296674,0.027711166512375845,0.1615906,0.1615906,-0.1260071
31,-1.018676639069999,0.0003662109,-5.497445434808414e-05,18530.0,0.02371222386282449,0.0005622695605207032,0.023712287589166384,0.5956116,0.5956116,-0.2865601
32,-0.6133118052600001,6.103516e-05,-3.3098316527792774e-05,18530.0,0.004194771288551755,1.7596106163258156e-05,0.004194901865576253,0.0255127,0.03063965,-0.03063965
33,-0.5734253151399995,9.155273e-05,-3.094578063356716e-05,18530.0,0.008436146621817542,7.116856982480352e-05,0.008436203379847036,0.05545044,0.05545044,-0.05358887
34,-0.44470348135999943,0.0003051758,-2.3999108546141363e-05,18530.0,0.03919050400279135,0.0015358956039928048,0.039190511350963714,0.2824707,0.2824707,-0.2793579
35,-0.3511356166499999,1.525879e-05,-1.8949574562871016e-05,18530.0,0.02000683065596232,0.00040027327289635366,0.02000683963005476,0.467865,0.5085144,-0.5085144
36,-3.1766968206099997,0.0001831055,-0.00017143533840313004,18530.0,0.013008004118458644,0.00016920817114583704,0.013009133761365145,0.06729126,0.1131287,-0.1131287
37,-0.2203675355899989,-0.0001525879,-1.1892473588235233e-05,18530.0,0.04243107278725403,0.0018003959378772498,0.042431074453850186,0.2947693,0.2947693,-0.216095
38,-0.07070885513000058,0.0003967285,-3.815912311386972e-06,18530.0,0.03820460797452293,0.001459592070486981,0.03820460816509139,0.2741089,0.2741089,-0.2236023
39,-0.4893497727199999,-0.0001831055,-2.6408514447922283e-05,18530.0,0.041461087113657334,0.0017190217446462824,0.04146109552406832,0.2554626,0.3132935,-0.3132935
